,explained_variance,model
0,0.17555156740196043,HGBR
1,0.07891512356380304,HGBR
2,0.143403540165273,HGBR
3,0.15114675733155492,HGBR
4,-0.03012998806883016,HGBR
5,0.025420465842250328,HGBR
6,0.3373234762310072,HGBR
7,-0.08556118561349257,HGBR
8,0.37745337501468645,HGBR
9,0.13638957593314538,HGBR
10,0.2907127797543859,HGBR
11,0.14124621830184303,HGBR
12,-0.007095305311652256,HGBR
13,0.07945763515838944,HGBR
14,0.06111891060823815,HGBR
15,0.24810892143137808,HGBR
16,0.18705759627415774,HGBR
17,0.18788431956700602,HGBR
18,0.3041098807119168,HGBR
19,-0.042851067488758554,HGBR
20,0.06266687195884468,HGBR
21,0.11243301837766895,HGBR
22,0.12230074834849824,HGBR
23,0.13792919015933702,HGBR
24,0.13475089117781136,HGBR
25,0.04578664573663371,HGBR
26,0.019267005303770013,HGBR
27,0.1884593370561567,HGBR
28,0.11841516658699591,HGBR
29,0.04859858873156597,HGBR
30,0.05034722200586483,HGBR
31,-0.04704108327507428,HGBR
32,-0.022073556896383684,HGBR
33,0.10118530874026499,HGBR
34,0.051969402195093384,HGBR
35,0.06885942065122108,HGBR
36,0.09249130510385539,HGBR
37,0.07391836769120186,HGBR
38,-0.09980196141640985,HGBR
39,0.2320737137714768,HGBR
40,-0.06275161991564948,HGBR
41,0.0771757185721973,HGBR
42,0.07095975330900128,HGBR
43,0.2172551480356989,HGBR
44,-0.009932247397577365,HGBR
45,0.09562528235320011,HGBR
46,0.1691454675490467,HGBR
47,0.2760782938401991,HGBR
48,0.019255792729436227,HGBR
49,0.1296363064725885,HGBR
50,0.04240345331133144,HGBR
51,0.028165373284423256,HGBR
52,0.20480857632047078,HGBR
53,0.11475673231952577,HGBR
54,-0.12010115016986855,HGBR
55,0.0748714614098086,HGBR
56,0.08489277700921405,HGBR
57,-0.03884705142801392,HGBR
58,0.0028155800656878283,HGBR
59,-0.06376209609741457,HGBR
60,0.06139381652433207,HGBR
61,-0.0076102767193058085,HGBR
62,-0.24673383763305945,HGBR
63,0.020554727394104355,HGBR
64,0.10891017730065722,HGBR
65,0.06139798032440125,HGBR
66,0.11014834181927813,HGBR
67,0.17009430355680855,HGBR
68,-0.048701211280740564,HGBR
69,0.18249114259203392,HGBR
70,0.21135148508545354,HGBR
71,0.10334890315182121,HGBR
72,-0.0471525113868827,HGBR
73,0.11196451215603531,HGBR
74,0.14845044431844456,HGBR
75,0.12900297312379783,HGBR
76,0.05316095069871407,HGBR
77,0.12719898870097457,HGBR
78,0.17088362481211583,HGBR
79,0.17518907647219017,HGBR
80,-0.05672678173577661,HGBR
81,0.11415176972177032,HGBR
82,0.18390503051269735,HGBR
83,0.03232122978591978,HGBR
84,0.20915977261169816,HGBR
85,0.07950319136328887,HGBR
86,0.18618065718483423,HGBR
87,0.0734806239784076,HGBR
88,0.10681400316304068,HGBR
89,-0.15174904889312746,HGBR
90,0.13088041501087655,HGBR
91,0.17350431456871862,HGBR
92,-0.07439213106090348,HGBR
93,0.1812653703963989,HGBR
94,-0.06846758280028009,HGBR
95,0.15034632934511027,HGBR
96,0.12568434784111682,HGBR
97,0.18092212021081833,HGBR
98,0.2317417542835538,HGBR
99,0.20178346465398855,HGBR
