,root_mean_squared_error,model
0,0.0368475175101194,HGBR
1,0.09528621712285604,HGBR
2,0.16882880957541663,HGBR
3,0.20109245045457153,HGBR
4,0.2738801322929271,HGBR
5,0.21861752806984416,HGBR
6,0.2278615954089547,HGBR
7,0.14646827007104177,HGBR
8,0.08704163601295697,HGBR
9,0.23220044029707498,HGBR
10,0.21515281836427808,HGBR
11,1.1264103350959493,HGBR
12,0.13743122377810332,HGBR
13,0.48772427324534817,HGBR
14,0.3729703040373125,HGBR
15,1.187738476125463,HGBR
16,0.3524535486939972,HGBR
17,0.2195504534846558,HGBR
18,0.28745493144009704,HGBR
19,0.3653050883738346,HGBR
20,0.6090738245563143,HGBR
21,0.3399254396545445,HGBR
22,0.5478256733050971,HGBR
23,0.5703474511697978,HGBR
24,0.42798476743525443,HGBR
25,0.36906614119261466,HGBR
26,0.3443257357160122,HGBR
27,0.27535659453699507,HGBR
28,0.8051575995014253,HGBR
29,0.39741508180244317,HGBR
30,0.33892340690342193,HGBR
31,0.6162033633037215,HGBR
32,0.2653529918940712,HGBR
33,0.12236577782086737,HGBR
34,0.5199476898938252,HGBR
35,0.26496690001857826,HGBR
36,0.38662150669971695,HGBR
37,0.5359727870133261,HGBR
38,0.23033182103566796,HGBR
39,0.6114699695725758,HGBR
40,0.3218248854198976,HGBR
41,0.36345612572488195,HGBR
42,0.5436535064920676,HGBR
43,0.896336977209124,HGBR
44,0.32247695929896303,HGBR
45,0.97884844179845,HGBR
46,0.4557335932271091,HGBR
47,0.2696201922862677,HGBR
48,0.34474825599582365,HGBR
49,0.4007968677888734,HGBR
50,0.7021881845243214,HGBR
51,0.6489536625516202,HGBR
52,0.26693496854713594,HGBR
53,0.4190217736011342,HGBR
54,0.19565221604687708,HGBR
55,0.051049190913752006,HGBR
56,0.6228540573730883,HGBR
57,0.5013947254592772,HGBR
58,0.4929884019036173,HGBR
59,0.19405880191535604,HGBR
60,0.5428823234303293,HGBR
61,0.5743287451223452,HGBR
62,0.45020335810951645,HGBR
63,0.9465150606970612,HGBR
64,0.44532037769874877,HGBR
65,0.3598891948496125,HGBR
66,0.38494959529229994,HGBR
67,0.4184592824559557,HGBR
68,0.2048999952003747,HGBR
69,0.17171568340190568,HGBR
70,0.3214309979692506,HGBR
71,0.3354030100315654,HGBR
72,0.22157383898398417,HGBR
73,0.11269697742747181,HGBR
74,0.1349985622682707,HGBR
75,0.9503205554914659,HGBR
76,0.19058000346469994,HGBR
77,0.08422906803601707,HGBR
78,0.1785434649831653,HGBR
79,0.21590057008568742,HGBR
80,0.08216723169055053,HGBR
81,0.33142407222357184,HGBR
82,0.49854701383159566,HGBR
83,0.7240000772562875,HGBR
84,0.2501188445201069,HGBR
85,0.2787225823871799,HGBR
86,0.3340194183349258,HGBR
87,0.5092105739880535,HGBR
88,2.03537446326672,HGBR
89,0.27308450457942973,HGBR
90,0.45452869119760797,HGBR
91,0.26462887276252517,HGBR
92,0.3064879818092144,HGBR
93,0.3509527219879482,HGBR
94,0.10029110361263069,HGBR
95,0.21588930912544543,HGBR
96,0.24865322687858402,HGBR
97,0.22984389908283193,HGBR
98,0.41459446691050034,HGBR
99,0.6399387043543282,HGBR
